patent_number,count_inventor_name,count_forward_cite_no_family,count_forward_cite_yes_family,count_backward_cite_no_family,count_backward_cite_yes_family,similarity_value
US10292008,2,3,5,17,3,0.21
US10284913,1,0,4,18,3,0.18
US10294852,7,1,14,8,5,0.18
US10283115,2,0,4,28,0,0.3
US10296973,1,0,1,78,0,0.27
US10298341,3,0,1,5,7,0.17
US10300875,5,1,125,31,2,0.27
US10299409,6,1,9,38,3,0.19
US10279561,5,0,4,12,2,0.3
US10294316,3,0,4,160,0,0.31
US10280687,3,1,0,74,0,0.17
US10280050,1,2,0,5,0,0.3
US10284049,1,0,4,11,0,0.17
US10283229,2,0,0,10,0,0.4
US10282456,10,0,5,7,0,0.29
US10302660,3,0,13,261,0,0.2
US10286574,3,0,2,30,0,0.2
US10287230,9,0,0,20,1,0.31
US10283553,3,0,23,20,0,0.22
US10290526,2,0,30,44,1,0.34
US10296256,3,0,2,11,0,0.18
US10301771,4,0,19,77,6,0.54
US10302380,1,0,0,35,0,0.5
US10302707,3,1,35,22,16,0.21
US10306524,8,1,23,14,10,0.18
US10287337,4,0,1,2,0,0.26
US10280168,1,0,12,26,0,0.18
